RecvTick,ExchTick,Bid,BidVol,Ask,AskVol,RecvTime,ExchTime,ContractId,TradingDay,Last,LastVol,Multiplier
637363634978066469,637363634973000000,4.73569455519,1,4.73569455519,1,738056.392336,738056.39233,992999999,20200922,4.73569455519,1,10000
637363634983066607,637363634978000000,4.73561342817,1,4.73561342817,1,738056.392342,738056.392336,992999999,20200922,4.73561342817,1,10000
637363634993045017,637363634987980000,4.73482901114,1,4.73482901114,1,738056.392353,738056.392347,992999999,20200922,4.73482901114,1,10000
637363634998106253,637363634993040000,4.73476299976,1,4.73476299976,1,738056.392359,738056.392353,992999999,20200922,4.73476299976,1,10000
637363635003170861,637363635003060000,4.73726433774,1,4.73801496112,1,738056.392365,738056.392365,992999999,20200922,4.73763964943,1,10000
637363635008170888,637363635003110000,4.74076309098,1,4.74431371436,1,738056.392371,738056.392365,992999999,20200922,4.74253840267,1,10000
637363638005624576,637363638005490000,4.73336435962,1,4.73509029612,1,738056.39584,738056.39584,992999999,20200922,4.73422732787,1,10000
637363638010624595,637363638005550000,4.73636312896,1,4.73641500453,1,738056.395846,738056.39584,992999999,20200922,4.73638906674,1,10000
637363638010646027,637363638010560000,4.73356437946,1,4.73519031725,1,738056.395846,738056.395846,992999999,20200922,4.73437734835,1,10000
637363638015630991,637363638010580000,4.73356439909,1,4.73439033816,1,738056.395851,738056.395846,992999999,20200922,4.73397736863,1,10000
637363638020639755,637363638015570000,4.73251502526,1,4.73439033829,1,738056.395857,738056.395851,992999999,20200922,4.73345268178,1,10000
637363638025651418,637363638020580000,4.73241504596,1,4.73416441904,1,738056.395863,738056.395857,992999999,20200922,4.7332897325,1,10000
637363638030690806,637363638025620000,4.73191508689,1,4.73271508689,1,738056.395869,738056.395863,992999999,20200922,4.73231508689,1,10000
637363638040651510,637363638035580000,4.73181510759,1,4.73271510759,1,738056.39588,738056.395875,992999999,20200922,4.73226510759,1,10000
637363638045666241,637363638040600000,4.73181514852,1,4.73386451734,1,738056.395886,738056.39588,992999999,20200922,4.73283983293,1,10000
637363638055618748,637363638050550000,4.73181516918,1,4.73313985315,1,738056.395898,738056.395892,992999999,20200922,4.73247751117,1,10000
637363638060672485,637363638055600000,4.73181518991,1,4.73213987346,1,738056.395904,738056.395898,992999999,20200922,4.73197753168,1,10000
637363638065678477,637363638060610000,4.73171523097,1,4.73231523097,1,738056.395909,738056.395903,992999999,20200922,4.73201523097,1,10000
637363638075664496,637363638070600000,4.73171527199,1,4.73271527199,1,738056.395921,738056.395915,992999999,20200922,4.73221527199,1,10000
637363638085619332,637363638080550000,4.7313152926,1,4.7327152926,1,738056.395932,738056.395927,992999999,20200922,4.7320152926,1,10000
